epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,26382.4,0.31104,0.23248,0.90839,0.99322,1,0.995,0.97458,0.24892,0.16719,0.80322,0.000229,0.000229,0.000229
66,26763.2,0.30875,0.22976,0.9095,0.9946,1,0.995,0.98198,0.2607,0.18598,0.80965,0.000222813,0.000222813,0.000222813
67,27143.7,0.30384,0.2259,0.90434,0.99444,1,0.995,0.97516,0.25114,0.17799,0.80495,0.000216625,0.000216625,0.000216625
68,27524.4,0.31795,0.22958,0.90929,0.99435,1,0.995,0.9709,0.2746,0.17713,0.81642,0.000210437,0.000210437,0.000210437
69,27906.7,0.30147,0.22355,0.90522,0.99453,1,0.995,0.97146,0.27184,0.18876,0.81434,0.00020425,0.00020425,0.00020425
70,28293.6,0.30093,0.22152,0.90633,0.99406,1,0.995,0.97417,0.26659,0.17604,0.81578,0.000198063,0.000198063,0.000198063
71,28675.4,0.30407,0.22398,0.90344,0.99337,1,0.995,0.97385,0.25732,0.18955,0.80733,0.000191875,0.000191875,0.000191875
72,29056.6,0.29288,0.21345,0.90388,0.99433,1,0.995,0.97469,0.25618,0.17275,0.8054,0.000185688,0.000185688,0.000185688
73,29437.3,0.30223,0.22173,0.90665,0.99462,1,0.995,0.98205,0.2421,0.16896,0.80257,0.0001795,0.0001795,0.0001795
74,29818.1,0.29975,0.21377,0.90255,0.99399,1,0.995,0.97718,0.24561,0.16989,0.80341,0.000173313,0.000173313,0.000173313
75,30203.5,0.30228,0.2183,0.90412,0.99406,1,0.995,0.97772,0.25132,0.17072,0.80682,0.000167125,0.000167125,0.000167125
76,30586.1,0.29792,0.2081,0.90774,0.99408,1,0.995,0.97756,0.2477,0.17177,0.80286,0.000160938,0.000160938,0.000160938
77,30966.6,0.28916,0.20981,0.90317,0.99418,1,0.995,0.98081,0.24978,0.17799,0.80434,0.00015475,0.00015475,0.00015475
78,31346.6,0.28991,0.20736,0.89705,0.99404,1,0.995,0.97672,0.24334,0.16917,0.8064,0.000148563,0.000148563,0.000148563
79,31740.6,0.28715,0.20681,0.90307,0.99419,1,0.995,0.97415,0.24185,0.16243,0.79846,0.000142375,0.000142375,0.000142375
80,32128.9,0.28522,0.20016,0.89753,0.99418,1,0.995,0.97997,0.24854,0.16342,0.80605,0.000136187,0.000136187,0.000136187
81,32512.8,0.28679,0.2011,0.89726,0.99493,1,0.995,0.98111,0.23881,0.15668,0.80244,0.00013,0.00013,0.00013
82,32894.5,0.28981,0.20448,0.89635,0.99393,1,0.995,0.97742,0.24422,0.165,0.80256,0.000123812,0.000123812,0.000123812
83,33276.9,0.27575,0.19933,0.89411,0.99358,1,0.995,0.97977,0.24235,0.15254,0.80087,0.000117625,0.000117625,0.000117625
84,33657.3,0.28254,0.20121,0.90133,0.99457,1,0.995,0.97935,0.24137,0.16415,0.80075,0.000111438,0.000111438,0.000111438
85,34037.4,0.27526,0.20084,0.89742,0.99553,1,0.995,0.98191,0.24121,0.16055,0.8006,0.00010525,0.00010525,0.00010525
86,34417.6,0.27672,0.19987,0.89627,0.99554,1,0.995,0.98493,0.25216,0.16984,0.8018,9.90625e-05,9.90625e-05,9.90625e-05
87,34797.9,0.27316,0.1911,0.90046,0.99422,1,0.995,0.98198,0.25369,0.16381,0.80695,9.2875e-05,9.2875e-05,9.2875e-05
88,35180.8,0.27865,0.19402,0.89178,0.9956,1,0.995,0.9827,0.24057,0.14801,0.79969,8.66875e-05,8.66875e-05,8.66875e-05
89,35583.9,0.27311,0.19236,0.88698,0.99573,1,0.995,0.97839,0.24161,0.153,0.79874,8.05e-05,8.05e-05,8.05e-05
90,35972,0.27253,0.18867,0.89597,0.99477,1,0.995,0.97769,0.24639,0.15224,0.79926,7.43125e-05,7.43125e-05,7.43125e-05
91,36352.9,0.21177,0.16197,0.85052,0.99556,1,0.995,0.97892,0.2443,0.15779,0.79756,6.8125e-05,6.8125e-05,6.8125e-05
92,36731.8,0.20864,0.15332,0.85842,0.99515,1,0.995,0.97737,0.24769,0.15142,0.8005,6.19375e-05,6.19375e-05,6.19375e-05
93,37109.8,0.21022,0.15091,0.84276,0.99519,1,0.995,0.9789,0.24022,0.14683,0.7981,5.575e-05,5.575e-05,5.575e-05
94,37486.9,0.21108,0.149,0.84401,0.99384,1,0.995,0.98186,0.23829,0.15211,0.79856,4.95625e-05,4.95625e-05,4.95625e-05
95,37865.7,0.20346,0.1462,0.84574,0.99364,1,0.995,0.98062,0.22963,0.15112,0.79466,4.3375e-05,4.3375e-05,4.3375e-05
96,38243.4,0.19963,0.14383,0.84534,0.99547,1,0.995,0.98133,0.22994,0.15224,0.79571,3.71875e-05,3.71875e-05,3.71875e-05
97,38621.6,0.19852,0.14358,0.8465,0.99674,1,0.995,0.98246,0.22761,0.14711,0.7913,3.1e-05,3.1e-05,3.1e-05
98,39016.7,0.199,0.14017,0.84008,0.99685,1,0.995,0.9796,0.23374,0.14703,0.79273,2.48125e-05,2.48125e-05,2.48125e-05
99,39398.7,0.19695,0.14086,0.85147,0.9972,1,0.995,0.98224,0.22905,0.14717,0.79119,1.8625e-05,1.8625e-05,1.8625e-05
100,39782.9,0.19775,0.14056,0.85005,0.99715,1,0.995,0.9815,0.23015,0.14407,0.79184,1.24375e-05,1.24375e-05,1.24375e-05
